Districte,Nom_Barri,total,RFB
Ciutat Vella,el Raval,3159,71.2
Ciutat Vella,el Barri Gòtic,4299,106.1
Ciutat Vella,la Barceloneta,2041,79.6
Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,2674,99.4
Eixample,el Fort Pienc,4284,106.5
Eixample,la Sagrada Família,6904,101.8
Eixample,la Dreta de l'Eixample,9007,175.9
Eixample,l'Antiga Esquerra de l'Eixample,7867,137.2
Eixample,la Nova Esquerra de l'Eixample,8879,110.2
Eixample,Sant Antoni,5075,104.2
Sants-Montjuïc,el Poble Sec,4121,82.2
Sants-Montjuïc,la Marina del Prat Vermell,390,40.0
Sants-Montjuïc,la Marina de Port,3518,69.3
Sants-Montjuïc,la Font de la Guatlla,1456,82.9
Sants-Montjuïc,Hostafrancs,1781,99.0
Sants-Montjuïc,la Bordeta,2249,79.0
Sants-Montjuïc,Sants - Badal,2775,81.0
Sants-Montjuïc,Sants,5241,99.0
Les Corts,les Corts,8091,120.0
Les Corts,la Maternitat i Sant Ramon,4003,114.2
Les Corts,Pedralbes,3242,248.8
Sarrià-Sant Gervasi,Vallvidrera  el Tibidabo i les Planes,948,144.1
Sarrià-Sant Gervasi,Sarrià,6158,193.6
Sarrià-Sant Gervasi,les Tres Torres,4741,215.8
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,6906,184.6
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,13698,192.1
Sarrià-Sant Gervasi,el Putxet i el Farró,6846,144.6
Gràcia,Vallcarca i els Penitents,2970,112.5
Gràcia,el Coll,1334,87.0
Gràcia,la Salut,2422,109.9
Gràcia,la Vila de Gràcia,7840,104.4
Gràcia,el Camp d'en Grassot i Gràcia Nova,5575,105.7
Horta-Guinardó,el Baix Guinardó,3732,92.0
Horta-Guinardó,Can Baró,1622,83.3
Horta-Guinardó,el Guinardó,4946,79.1
Horta-Guinardó,la Font d'en Fargues,1961,92.5
Horta-Guinardó,el Carmel,4335,54.2
Horta-Guinardó,la Teixonera,1662,73.7
Horta-Guinardó,Sant Genís dels Agudells,903,84.1
Horta-Guinardó,Montbau,537,79.8
Horta-Guinardó,la Vall d'Hebron,636,95.8
Horta-Guinardó,la Clota,77,93.5
Horta-Guinardó,Horta,3678,79.8
Nou Barris,Vilapicina i la Torre Llobeta,2737,63.8
Nou Barris,Porta,2249,64.4
Nou Barris,el Turó de la Peira,1273,51.9
Nou Barris,Can Peguera,217,51.5
Nou Barris,la Guineueta,1478,53.8
Nou Barris,Canyelles,724,52.2
Nou Barris,les Roquetes,1298,49.7
Nou Barris,Verdun,1004,51.3
Nou Barris,la Prosperitat,2437,56.0
Nou Barris,la Trinitat Nova,486,48.2
Nou Barris,Torre Baró,249,46.5
Nou Barris,Ciutat Meridiana,483,38.6
Nou Barris,Vallbona,123,40.9
Sant Andreu,la Trinitat Vella,690,47.1
Sant Andreu,Baró de Viver,195,68.9
Sant Andreu,el Bon Pastor,1109,65.1
Sant Andreu,Sant Andreu,6460,77.7
Sant Andreu,la Sagrera,3010,77.1
Sant Andreu,el Congrés i els Indians,1468,75.1
Sant Andreu,Navas,2611,81.6
Sant Martí,el Camp de l'Arpa del Clot,4690,81.7
Sant Martí,el Clot,3097,83.6
Sant Martí,el Parc i la Llacuna del Poblenou,1994,100.4
Sant Martí,la Vila Olímpica del Poblenou,1532,164.2
Sant Martí,el Poblenou,3951,99.9
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,1602,150.1
Sant Martí,el Besòs i el Maresme,1408,60.4
Sant Martí,Provençals del Poblenou,2310,102.3
Sant Martí,Sant Martí de Provençals,2749,67.4
Sant Martí,la Verneda i la Pau,2549,57.0
No consta,No consta,437,
